# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-O" "-s" "1" "-t" "CDS" "--ignoreDup" "-T" "1" "-G" "../data/reference/YB886.fa" "-a" "../results/bacillus_annotation/YB886.gff" "-g" "ID" "-o" "../results/featureCounts/tmp_counts.txt" "T0" "T10" 
Geneid	Chr	Start	End	Strand	Length	T0	T10
IABCJNHA_00040	manual_scaffold_1	40197	40802	-	606	8	0
IABCJNHA_00041	manual_scaffold_1	40799	41245	-	447	6	2
IABCJNHA_00042	manual_scaffold_1	41365	41817	+	453	54	12
IABCJNHA_00043	manual_scaffold_1	41964	42626	+	663	84	28
IABCJNHA_00044	manual_scaffold_1	42801	43280	-	480	12	0
IABCJNHA_00045	manual_scaffold_1	43363	43806	-	444	1	4
IABCJNHA_00046	manual_scaffold_1	43820	44698	-	879	26	5
IABCJNHA_00047	manual_scaffold_1	44885	46099	+	1215	165	34
IABCJNHA_00048	manual_scaffold_1	46132	46971	-	840	47	13
IABCJNHA_00049	manual_scaffold_1	47117	47506	+	390	7	2
IABCJNHA_00050	manual_scaffold_1	47574	48362	+	789	14	4
IABCJNHA_00051	manual_scaffold_1	48737	49393	-	657	127	429
IABCJNHA_00052	manual_scaffold_1	49390	50145	-	756	76	175
IABCJNHA_00053	manual_scaffold_1	50142	50852	-	711	82	229
IABCJNHA_00054	manual_scaffold_1	50842	51597	-	756	104	309
IABCJNHA_00055	manual_scaffold_1	51711	52148	-	438	1015	943
IABCJNHA_00056	manual_scaffold_1	53627	53866	+	240	1	5
IABCJNHA_00057	manual_scaffold_1	53910	55217	-	1308	2	4
IABCJNHA_00058	manual_scaffold_1	55528	55638	+	111	0	1
IABCJNHA_00059	manual_scaffold_1	55650	56096	+	447	2	5
IABCJNHA_00060	manual_scaffold_1	56129	57058	-	930	862	682
IABCJNHA_00061	manual_scaffold_1	57263	57640	+	378	21	47
IABCJNHA_00062	manual_scaffold_1	57670	58152	-	483	2	0
IABCJNHA_00063	manual_scaffold_1	58298	58447	+	150	4	0
IABCJNHA_00064	manual_scaffold_1	58674	59603	+	930	64	144
IABCJNHA_00065	manual_scaffold_1	59640	61619	+	1980	335	749
IABCJNHA_00066	manual_scaffold_1	61616	62065	+	450	186	373
IABCJNHA_00067	manual_scaffold_1	62102	64159	-	2058	60	72
IABCJNHA_00068	manual_scaffold_1	64264	65472	-	1209	337	211
IABCJNHA_00069	manual_scaffold_1	65545	65685	-	141	39	23
IABCJNHA_00070	manual_scaffold_1	65806	66009	+	204	0	2
IABCJNHA_00071	manual_scaffold_1	66057	66257	-	201	0	0
IABCJNHA_00072	manual_scaffold_1	66427	67791	+	1365	68	73
IABCJNHA_00073	manual_scaffold_1	67912	68331	+	420	0	0
IABCJNHA_00074	manual_scaffold_1	68537	69829	+	1293	862	561
IABCJNHA_00079	manual_scaffold_1	70857	71567	+	711	136	267
IABCJNHA_00080	manual_scaffold_1	71575	73410	+	1836	214	808
IABCJNHA_00081	manual_scaffold_1	73391	74767	+	1377	252	698
IABCJNHA_00082	manual_scaffold_1	74754	75596	+	843	272	618
IABCJNHA_00083	manual_scaffold_1	75618	76412	+	795	117	293
IABCJNHA_00084	manual_scaffold_1	76494	77696	+	1203	74	225
IABCJNHA_00085	manual_scaffold_1	78131	79516	-	1386	46	34
IABCJNHA_00086	manual_scaffold_1	79757	80962	+	1206	6340	3865
IABCJNHA_00087	manual_scaffold_1	81185	82588	+	1404	15419	8426
IABCJNHA_00088	manual_scaffold_1	82662	83552	+	891	10218	5988
IABCJNHA_00089	manual_scaffold_1	83789	83905	-	117	9	7
IABCJNHA_00090	manual_scaffold_1	83906	85003	-	1098	143	76
IABCJNHA_00091	manual_scaffold_1	85114	85584	+	471	8	2
IABCJNHA_00092	manual_scaffold_1	85726	86463	+	738	2	0
IABCJNHA_00093	manual_scaffold_1	86474	87637	+	1164	10	0
IABCJNHA_00094	manual_scaffold_1	87653	87901	+	249	2	0
IABCJNHA_00095	manual_scaffold_1	88006	88176	+	171	2	4
IABCJNHA_00096	manual_scaffold_1	88254	89465	+	1212	60	49
IABCJNHA_00097	manual_scaffold_1	89499	89912	-	414	0	0
IABCJNHA_00098	manual_scaffold_1	90097	90267	+	171	19	5
IABCJNHA_00099	manual_scaffold_1	90348	90827	+	480	45	25
IABCJNHA_00100	manual_scaffold_1	91089	92534	+	1446	341	112
IABCJNHA_00101	manual_scaffold_1	92503	92925	+	423	94	34
IABCJNHA_00102	manual_scaffold_1	92925	94685	+	1761	441	163
IABCJNHA_00103	manual_scaffold_1	95219	97144	-	1926	208	99
IABCJNHA_00104	manual_scaffold_1	97616	97765	+	150	30	8
IABCJNHA_00105	manual_scaffold_1	97823	98782	+	960	36	22
IABCJNHA_00106	manual_scaffold_1	98763	99521	+	759	16	12
IABCJNHA_00107	manual_scaffold_1	99671	100300	+	630	73	44
IABCJNHA_00108	manual_scaffold_1	100321	101043	+	723	124	66
IABCJNHA_00109	manual_scaffold_1	101174	101332	-	159	19	6
IABCJNHA_00110	manual_scaffold_1	101360	102070	-	711	31	16
IABCJNHA_00111	manual_scaffold_1	102414	102644	+	231	3	1
IABCJNHA_00112	manual_scaffold_1	102658	104097	+	1440	49	14
IABCJNHA_00113	manual_scaffold_1	104207	105736	-	1530	3495	4027
IABCJNHA_00114	manual_scaffold_1	105750	106313	-	564	2091	2524
IABCJNHA_00115	manual_scaffold_1	106777	108183	-	1407	266	74
IABCJNHA_00116	manual_scaffold_1	108206	109438	-	1233	72	8
IABCJNHA_00117	manual_scaffold_1	109467	111008	-	1542	68	4
IABCJNHA_00118	manual_scaffold_1	111001	111732	-	732	10	0
IABCJNHA_00119	manual_scaffold_1	111928	113076	+	1149	10	9
IABCJNHA_00120	manual_scaffold_1	113169	114200	+	1032	55	46
IABCJNHA_00121	manual_scaffold_1	114240	114932	-	693	2	2
IABCJNHA_00122	manual_scaffold_1	114902	115306	-	405	2	4
IABCJNHA_00123	manual_scaffold_1	115533	115964	+	432	12	7
IABCJNHA_00124	manual_scaffold_1	116021	117091	-	1071	2	6
IABCJNHA_00125	manual_scaffold_1	117222	117797	+	576	99	47
IABCJNHA_00126	manual_scaffold_1	117891	118904	+	1014	5	6
IABCJNHA_00127	manual_scaffold_1	119012	120220	+	1209	4	1
IABCJNHA_00128	manual_scaffold_1	120250	120705	-	456	50	13
IABCJNHA_00129	manual_scaffold_1	120962	121387	+	426	38	8
IABCJNHA_00130	manual_scaffold_1	121488	122720	+	1233	521	88
IABCJNHA_00131	manual_scaffold_1	122784	123983	-	1200	16	7
IABCJNHA_00132	manual_scaffold_1	123980	126223	-	2244	21	11
IABCJNHA_00133	manual_scaffold_1	126244	126726	-	483	8	2
IABCJNHA_00134	manual_scaffold_1	126730	126999	-	270	4	1
IABCJNHA_00135	manual_scaffold_1	126999	127733	-	735	9	0
IABCJNHA_00136	manual_scaffold_1	128242	129234	+	993	48	56
IABCJNHA_00137	manual_scaffold_1	129314	129793	+	480	11	19
IABCJNHA_00138	manual_scaffold_1	129832	131169	-	1338	16	10
IABCJNHA_00139	manual_scaffold_1	131312	132454	+	1143	15	4
IABCJNHA_00140	manual_scaffold_1	132483	133304	-	822	0	0
IABCJNHA_00141	manual_scaffold_1	133421	133672	+	252	10	12
IABCJNHA_00142	manual_scaffold_1	133840	135720	+	1881	1525	564
IABCJNHA_00143	manual_scaffold_1	135762	137147	-	1386	0	14
IABCJNHA_00144	manual_scaffold_1	137385	137693	-	309	33	21
IABCJNHA_00145	manual_scaffold_1	137697	138347	-	651	77	30
IABCJNHA_00146	manual_scaffold_1	138609	139541	-	933	779	347
IABCJNHA_00147	manual_scaffold_1	139595	140350	-	756	355	119
IABCJNHA_00148	manual_scaffold_1	140766	142229	+	1464	1703	112
IABCJNHA_00149	manual_scaffold_1	142304	143119	+	816	710	39
IABCJNHA_00150	manual_scaffold_1	143143	144120	+	978	1099	38
IABCJNHA_00151	manual_scaffold_1	144153	146066	+	1914	1704	115
IABCJNHA_00152	manual_scaffold_1	146083	146976	+	894	479	29
IABCJNHA_00153	manual_scaffold_1	146976	148307	+	1332	1443	90
IABCJNHA_00154	manual_scaffold_1	148330	149364	+	1035	2228	171
IABCJNHA_00155	manual_scaffold_1	149384	150253	+	870	1442	135
IABCJNHA_00156	manual_scaffold_1	150339	151175	+	837	1077	147
IABCJNHA_00157	manual_scaffold_1	151196	152068	+	873	963	189
IABCJNHA_00158	manual_scaffold_1	152176	152865	+	690	68	15
IABCJNHA_00159	manual_scaffold_1	152862	153839	+	978	88	27
IABCJNHA_00160	manual_scaffold_1	153983	154756	+	774	2	5
IABCJNHA_00161	manual_scaffold_1	154731	156599	+	1869	14	7
IABCJNHA_00162	manual_scaffold_1	156613	156960	+	348	6	1
IABCJNHA_00163	manual_scaffold_1	157001	157966	-	966	210	12
IABCJNHA_00164	manual_scaffold_1	158144	158542	+	399	136	14
IABCJNHA_00165	manual_scaffold_1	158586	158939	-	354	2	0
IABCJNHA_00166	manual_scaffold_1	159187	159552	-	366	0	0
IABCJNHA_00167	manual_scaffold_1	159641	160075	+	435	27	12
IABCJNHA_00168	manual_scaffold_1	160056	160613	+	558	19	20
IABCJNHA_00169	manual_scaffold_1	160653	161465	+	813	181	76
IABCJNHA_00170	manual_scaffold_1	161620	162606	+	987	52	22
IABCJNHA_00171	manual_scaffold_1	162593	162820	+	228	2	0
IABCJNHA_00172	manual_scaffold_1	163006	164331	+	1326	20	6
IABCJNHA_00173	manual_scaffold_1	164345	164842	+	498	15	2
IABCJNHA_00174	manual_scaffold_1	164867	165661	+	795	35	4
IABCJNHA_00175	manual_scaffold_1	165684	166358	+	675	11	2
IABCJNHA_00176	manual_scaffold_1	166371	167120	+	750	2	2
IABCJNHA_00177	manual_scaffold_1	167137	168279	+	1143	9	0
IABCJNHA_00178	manual_scaffold_1	168276	169613	+	1338	7	5
IABCJNHA_00179	manual_scaffold_1	169683	170795	+	1113	11	3
IABCJNHA_00180	manual_scaffold_1	170868	171695	+	828	10	0
IABCJNHA_00181	manual_scaffold_1	171829	172770	+	942	42	9
IABCJNHA_00182	manual_scaffold_1	172876	173547	+	672	398	42
IABCJNHA_00183	manual_scaffold_1	173628	174809	+	1182	369	28
IABCJNHA_00184	manual_scaffold_1	174839	176140	+	1302	384	43
IABCJNHA_00185	manual_scaffold_1	176184	177548	-	1365	2	2
IABCJNHA_00186	manual_scaffold_1	177687	178646	-	960	21	14
IABCJNHA_00187	manual_scaffold_1	178639	179904	-	1266	26	12
IABCJNHA_00188	manual_scaffold_1	179917	181575	-	1659	21	10
IABCJNHA_00189	manual_scaffold_1	181572	183098	-	1527	10	0
IABCJNHA_00190	manual_scaffold_1	183211	183657	-	447	259	6
IABCJNHA_00191	manual_scaffold_1	184274	185683	+	1410	109	25
IABCJNHA_00192	manual_scaffold_1	185990	186355	+	366	4	4
IABCJNHA_00193	manual_scaffold_1	186367	186636	+	270	2	2
IABCJNHA_00194	manual_scaffold_1	186656	188365	+	1710	62	22
IABCJNHA_00195	manual_scaffold_1	188362	188805	+	444	34	21
IABCJNHA_00196	manual_scaffold_1	188851	189159	+	309	24	8
IABCJNHA_00197	manual_scaffold_1	189542	191371	+	1830	181	20
IABCJNHA_00198	manual_scaffold_1	191358	192803	+	1446	181	36
IABCJNHA_00199	manual_scaffold_1	192906	193352	+	447	196	20
IABCJNHA_00200	manual_scaffold_1	193501	194439	+	939	40	18
IABCJNHA_00201	manual_scaffold_1	194601	201605	+	7005	26790	5688
IABCJNHA_00202	manual_scaffold_1	201667	202095	+	429	848	201
IABCJNHA_00203	manual_scaffold_1	202421	202891	+	471	178	47
IABCJNHA_00204	manual_scaffold_1	202885	203253	+	369	119	31
IABCJNHA_00205	manual_scaffold_1	203304	203720	+	417	119	25
IABCJNHA_00206	manual_scaffold_1	203843	204172	+	330	93	13
IABCJNHA_00207	manual_scaffold_1	204242	204694	+	453	259	61
IABCJNHA_00208	manual_scaffold_1	204712	205200	+	489	290	70
IABCJNHA_00209	manual_scaffold_1	205228	205524	+	297	82	15
IABCJNHA_00210	manual_scaffold_1	205540	206001	+	462	96	18
IABCJNHA_00211	manual_scaffold_1	206013	206144	+	132	10	1
IABCJNHA_00212	manual_scaffold_1	206493	207641	+	1149	128	48
IABCJNHA_00213	manual_scaffold_1	207723	209162	+	1440	437	128
IABCJNHA_00214	manual_scaffold_1	209181	210464	-	1284	24	6
IABCJNHA_00215	manual_scaffold_1	210674	211354	+	681	25	16
IABCJNHA_00216	manual_scaffold_1	211450	212283	+	834	78	13
IABCJNHA_00217	manual_scaffold_1	212579	213307	+	729	39	2
IABCJNHA_00218	manual_scaffold_1	213465	214745	-	1281	1	1
IABCJNHA_00219	manual_scaffold_1	214946	217006	+	2061	2	2
IABCJNHA_00220	manual_scaffold_1	217056	217346	+	291	56	12
IABCJNHA_00221	manual_scaffold_1	217491	217733	+	243	13	29
IABCJNHA_00222	manual_scaffold_1	218204	219397	-	1194	90	73
IABCJNHA_00223	manual_scaffold_1	220091	220861	+	771	23	36
IABCJNHA_00224	manual_scaffold_1	221015	222433	+	1419	2	1
IABCJNHA_00225	manual_scaffold_1	222457	223173	+	717	0	4
IABCJNHA_00226	manual_scaffold_1	223170	223820	+	651	0	5
IABCJNHA_00227	manual_scaffold_1	223837	224610	+	774	2	4
IABCJNHA_00228	manual_scaffold_1	224663	225799	-	1137	151	10
IABCJNHA_00229	manual_scaffold_1	226052	227185	-	1134	55	11
IABCJNHA_00230	manual_scaffold_1	227440	227928	-	489	143	22
IABCJNHA_00231	manual_scaffold_1	228057	228320	-	264	11	2
IABCJNHA_00232	manual_scaffold_1	228609	228737	-	129	14	5
IABCJNHA_00233	manual_scaffold_1	228842	230074	-	1233	618	567
IABCJNHA_00234	manual_scaffold_1	230124	230780	-	657	13	8
IABCJNHA_00235	manual_scaffold_1	230767	231987	-	1221	27	28
IABCJNHA_00236	manual_scaffold_1	232005	232478	-	474	29	4
IABCJNHA_00237	manual_scaffold_1	232556	233431	-	876	13	12
IABCJNHA_00238	manual_scaffold_1	233561	234067	+	507	2	0
IABCJNHA_00239	manual_scaffold_1	234182	235201	+	1020	658	259
IABCJNHA_00240	manual_scaffold_1	235276	235917	-	642	2770	970
IABCJNHA_00241	manual_scaffold_1	236386	237222	+	837	57	30
IABCJNHA_00242	manual_scaffold_1	237264	238721	-	1458	2	4
IABCJNHA_00243	manual_scaffold_1	238905	239798	+	894	39	2
IABCJNHA_00244	manual_scaffold_1	239919	241016	+	1098	280	63
IABCJNHA_00245	manual_scaffold_1	241123	241962	+	840	69	17
IABCJNHA_00246	manual_scaffold_1	241976	242176	-	201	99	29
IABCJNHA_00247	manual_scaffold_1	242234	243502	-	1269	9	9
IABCJNHA_00248	manual_scaffold_1	243610	244431	-	822	6	2
IABCJNHA_00249	manual_scaffold_1	244553	245905	-	1353	90	14
IABCJNHA_00250	manual_scaffold_1	246461	247867	+	1407	962	76
IABCJNHA_00251	manual_scaffold_1	247851	248867	+	1017	565	19
IABCJNHA_00252	manual_scaffold_1	248867	250570	+	1704	341	18
IABCJNHA_00253	manual_scaffold_1	250567	252294	+	1728	51	22
IABCJNHA_00254	manual_scaffold_1	252380	253210	+	831	8	5
IABCJNHA_00255	manual_scaffold_1	253225	254598	-	1374	20	2
IABCJNHA_00256	manual_scaffold_1	254810	255346	+	537	11	8
IABCJNHA_00257	manual_scaffold_1	255339	255659	+	321	8	8
IABCJNHA_00258	manual_scaffold_1	255656	255862	+	207	15	6
IABCJNHA_00259	manual_scaffold_1	255859	256047	+	189	3	1
IABCJNHA_00260	manual_scaffold_1	256054	256941	+	888	9	18
IABCJNHA_00261	manual_scaffold_1	256938	257714	+	777	4	18
IABCJNHA_00262	manual_scaffold_1	257711	258913	-	1203	25	1
IABCJNHA_00263	manual_scaffold_1	259018	260661	-	1644	2	4
IABCJNHA_00264	manual_scaffold_1	260790	261380	+	591	3	2
IABCJNHA_00265	manual_scaffold_1	261409	261567	+	159	1	0
IABCJNHA_00266	manual_scaffold_1	261730	263655	+	1926	120	30
IABCJNHA_00267	manual_scaffold_1	263784	264092	+	309	26	0
IABCJNHA_00268	manual_scaffold_1	264108	265466	+	1359	44	1
IABCJNHA_00269	manual_scaffold_1	265554	265817	+	264	35	2
IABCJNHA_00270	manual_scaffold_1	265814	267142	+	1329	130	14
IABCJNHA_00271	manual_scaffold_1	267176	268267	-	1092	559	204
IABCJNHA_00272	manual_scaffold_1	268408	269166	-	759	553	390
IABCJNHA_00273	manual_scaffold_1	269257	270435	-	1179	1203	904
IABCJNHA_00274	manual_scaffold_1	270435	270671	-	237	285	204
IABCJNHA_00275	manual_scaffold_1	270688	271875	-	1188	915	641
IABCJNHA_00276	manual_scaffold_1	271872	273383	-	1512	1186	766
IABCJNHA_00277	manual_scaffold_1	273997	274932	+	936	220	74
IABCJNHA_00278	manual_scaffold_1	275074	275706	+	633	27	23
IABCJNHA_00279	manual_scaffold_1	275736	277103	-	1368	32	8
IABCJNHA_00280	manual_scaffold_1	277259	278497	-	1239	33	9
IABCJNHA_00281	manual_scaffold_1	278749	279264	-	516	28	5
IABCJNHA_00282	manual_scaffold_1	279415	280128	+	714	0	0
IABCJNHA_00283	manual_scaffold_1	280238	281098	+	861	8	4
IABCJNHA_00284	manual_scaffold_1	281149	281991	-	843	52	29
IABCJNHA_00285	manual_scaffold_1	282045	283424	-	1380	10	7
IABCJNHA_00286	manual_scaffold_1	283852	285789	-	1938	1571	408
IABCJNHA_00287	manual_scaffold_1	286017	287351	+	1335	0	8
IABCJNHA_00288	manual_scaffold_1	287428	288105	+	678	24	6
IABCJNHA_00289	manual_scaffold_1	288143	288523	-	381	134	38
IABCJNHA_00290	manual_scaffold_1	288644	289834	+	1191	120	47
IABCJNHA_00291	manual_scaffold_1	289869	290066	-	198	36	24
IABCJNHA_00292	manual_scaffold_1	290100	291299	-	1200	64	15
IABCJNHA_00293	manual_scaffold_1	291403	292080	-	678	52	4
IABCJNHA_00294	manual_scaffold_1	292062	292448	-	387	68	7
IABCJNHA_00295	manual_scaffold_1	292554	293459	+	906	45	21
IABCJNHA_00296	manual_scaffold_1	293467	294285	+	819	42	15
IABCJNHA_00297	manual_scaffold_1	294282	294950	+	669	103	46
IABCJNHA_00298	manual_scaffold_1	295107	296552	+	1446	88	12
IABCJNHA_00299	manual_scaffold_1	296549	297706	+	1158	320	44
IABCJNHA_00300	manual_scaffold_1	297725	298975	+	1251	247	57
IABCJNHA_00301	manual_scaffold_1	299258	299860	+	603	16	10
IABCJNHA_00302	manual_scaffold_1	299891	301432	-	1542	16	0
IABCJNHA_00303	manual_scaffold_1	301429	301737	-	309	8	0
IABCJNHA_00304	manual_scaffold_1	302180	302338	-	159	23	9
IABCJNHA_00305	manual_scaffold_1	302694	303365	+	672	13	2
IABCJNHA_00306	manual_scaffold_1	303362	303766	+	405	15	7
IABCJNHA_00307	manual_scaffold_1	303847	305019	+	1173	89	34
IABCJNHA_00308	manual_scaffold_1	305023	306564	+	1542	251	82
IABCJNHA_00309	manual_scaffold_1	306635	306883	-	249	4	4
IABCJNHA_00310	manual_scaffold_1	307360	308361	+	1002	6402	1155
IABCJNHA_00311	manual_scaffold_1	308389	310338	+	1950	7774	1910
IABCJNHA_00312	manual_scaffold_1	310352	310966	+	615	3111	871
IABCJNHA_00313	manual_scaffold_1	310968	311342	+	375	2504	782
IABCJNHA_00314	manual_scaffold_1	311385	311645	-	261	4	5
IABCJNHA_00315	manual_scaffold_1	312144	313325	+	1182	86	130
IABCJNHA_00316	manual_scaffold_1	313431	314180	+	750	164	46
IABCJNHA_00317	manual_scaffold_1	314354	315355	+	1002	22	16
IABCJNHA_00318	manual_scaffold_1	315393	317813	-	2421	72	50
IABCJNHA_00319	manual_scaffold_1	318343	318645	+	303	3	4
IABCJNHA_00320	manual_scaffold_1	318685	319515	+	831	29	16
IABCJNHA_00321	manual_scaffold_1	319554	320324	-	771	89	4
IABCJNHA_00322	manual_scaffold_1	320626	322011	+	1386	42	23
IABCJNHA_00323	manual_scaffold_1	322008	323447	+	1440	132	42
IABCJNHA_00324	manual_scaffold_1	323541	323789	+	249	22	5
IABCJNHA_00325	manual_scaffold_1	323879	324694	-	816	167	69
IABCJNHA_00326	manual_scaffold_1	324838	325176	+	339	8	4
IABCJNHA_00327	manual_scaffold_1	325169	325804	+	636	18	8
IABCJNHA_00328	manual_scaffold_1	325852	326385	+	534	8	3
IABCJNHA_00329	manual_scaffold_1	326475	327281	+	807	195	111
IABCJNHA_00330	manual_scaffold_1	327295	327972	+	678	199	113
IABCJNHA_00331	manual_scaffold_1	327997	329367	-	1371	14	7
IABCJNHA_00332	manual_scaffold_1	329535	329852	+	318	44	27
IABCJNHA_00333	manual_scaffold_1	329872	331194	+	1323	198	95
IABCJNHA_00334	manual_scaffold_1	331256	331627	+	372	97	22
IABCJNHA_00335	manual_scaffold_1	331671	332216	-	546	0	0
IABCJNHA_00336	manual_scaffold_1	332536	333306	+	771	2	4
IABCJNHA_00337	manual_scaffold_1	333356	334735	+	1380	0	7
IABCJNHA_00338	manual_scaffold_1	334756	335925	+	1170	0	4
IABCJNHA_00339	manual_scaffold_1	335926	336795	+	870	6	10
IABCJNHA_00340	manual_scaffold_1	336795	337916	+	1122	6	6
IABCJNHA_00341	manual_scaffold_1	337909	338631	+	723	3	6
IABCJNHA_00342	manual_scaffold_1	338634	339653	+	1020	8	24
IABCJNHA_00343	manual_scaffold_1	339678	340418	+	741	5	16
IABCJNHA_00344	manual_scaffold_1	340418	341365	+	948	13	18
IABCJNHA_00345	manual_scaffold_1	341379	342230	+	852	12	6
IABCJNHA_00346	manual_scaffold_1	342223	342678	+	456	4	2
IABCJNHA_00347	manual_scaffold_1	343002	343466	+	465	491	144
IABCJNHA_00348	manual_scaffold_1	343643	344917	+	1275	3426	1081
IABCJNHA_00349	manual_scaffold_1	345144	346691	+	1548	18215	15338
IABCJNHA_00350	manual_scaffold_1	346765	348465	+	1701	1410	1344
IABCJNHA_00351	manual_scaffold_1	348519	349877	+	1359	823	921
IABCJNHA_00352	manual_scaffold_1	350087	351325	+	1239	8	20
IABCJNHA_00353	manual_scaffold_1	351477	352091	+	615	13	8
IABCJNHA_00354	manual_scaffold_1	352081	352788	+	708	27	13
IABCJNHA_00355	manual_scaffold_1	352791	353552	+	762	37	24
IABCJNHA_00356	manual_scaffold_1	353571	354989	+	1419	104	62
IABCJNHA_00357	manual_scaffold_1	354986	356170	+	1185	46	27
IABCJNHA_00358	manual_scaffold_1	356171	357370	+	1200	34	21
IABCJNHA_00359	manual_scaffold_1	357385	358164	-	780	51	18
IABCJNHA_00360	manual_scaffold_1	358297	359061	-	765	594	131
IABCJNHA_00361	manual_scaffold_1	359331	360302	+	972	851	858
IABCJNHA_00362	manual_scaffold_1	360449	361348	+	900	5	51
IABCJNHA_00363	manual_scaffold_1	361397	362242	+	846	75	57
IABCJNHA_00364	manual_scaffold_1	362410	363300	+	891	0	13
IABCJNHA_00365	manual_scaffold_1	363444	364220	-	777	4	4
IABCJNHA_00366	manual_scaffold_1	364435	364659	+	225	0	7
IABCJNHA_00367	manual_scaffold_1	364821	366122	+	1302	313	315
IABCJNHA_00368	manual_scaffold_1	366158	366658	+	501	95	110
IABCJNHA_00369	manual_scaffold_1	366770	367240	+	471	10	7
IABCJNHA_00370	manual_scaffold_1	367240	368640	+	1401	15	30
IABCJNHA_00371	manual_scaffold_1	368720	368875	+	156	106	32
IABCJNHA_00372	manual_scaffold_1	369485	371401	+	1917	11	14
IABCJNHA_00373	manual_scaffold_1	371521	371940	+	420	27	10
IABCJNHA_00374	manual_scaffold_1	371983	372171	-	189	66	38
IABCJNHA_00375	manual_scaffold_1	372280	372939	+	660	171	79
IABCJNHA_00376	manual_scaffold_1	372953	373471	+	519	202	109
IABCJNHA_00377	manual_scaffold_1	373764	375839	-	2076	2	0
IABCJNHA_00378	manual_scaffold_1	376041	376871	+	831	135	192
IABCJNHA_00379	manual_scaffold_1	376932	377804	+	873	79	203
IABCJNHA_00380	manual_scaffold_1	377836	378309	-	474	16	1
IABCJNHA_00381	manual_scaffold_1	378408	378527	-	120	27	9
IABCJNHA_00382	manual_scaffold_1	378511	379656	-	1146	582	216
IABCJNHA_00383	manual_scaffold_1	379886	381241	+	1356	14	26
IABCJNHA_00384	manual_scaffold_1	381280	382656	+	1377	10	8
IABCJNHA_00385	manual_scaffold_1	382662	383363	-	702	4	2
IABCJNHA_00386	manual_scaffold_1	383360	384640	-	1281	13	6
IABCJNHA_00387	manual_scaffold_1	384645	385829	-	1185	44	13
IABCJNHA_00388	manual_scaffold_1	385795	387105	-	1311	37	10
