,Geneid,Chr,Start,End,Strand,Length,MM227,MM228,MM229,MM230,MM231,MM232,MM233,MM234,MM235,MM236,MM237,MM238,pseudo_ref
136,FGBKPADF_00141,manual_scaffold_1,145421,145672,+,252,375.96,382.16,379.72,375.55,366.58,362.88,296.14,258.73,308.41,328.98,314.80,314.88,336.75
137,FGBKPADF_00142,manual_scaffold_1,145840,147720,+,1881,19133.45,15813.97,13788.55,7362.29,18983.74,15111.39,11193.48,6355.32,17997.84,14515.19,11431.47,6345.29,14062.42
138,FGBKPADF_00143,manual_scaffold_1,147762,149147,-,1386,78.33,369.99,438.44,625.92,81.21,353.03,387.26,646.83,72.47,299.31,381.53,695.82,310.58
139,FGBKPADF_00144,manual_scaffold_1,149385,149693,-,309,647.76,541.20,549.35,845.36,569.98,468.94,417.24,668.69,542.73,469.74,435.21,701.96,546.58
140,FGBKPADF_00145,manual_scaffold_1,149697,150347,-,651,1570.43,1211.40,1145.67,1835.05,1360.81,1081.82,955.57,1390.23,1450.23,1053.94,918.29,1534.48,1256.58
141,FGBKPADF_00146,manual_scaffold_1,150609,151541,-,933,10706.36,9498.12,9161.48,7332.84,9537.03,9088.65,8498.22,6894.65,10070.28,8615.51,8400.97,5973.57,8763.08
142,FGBKPADF_00147,manual_scaffold_1,151595,152350,-,756,5448.35,3994.47,3160.39,1397.64,4663.02,4087.89,2949.44,1065.90,4889.39,3532.35,2634.46,1264.14,3559.33
143,FGBKPADF_00148,manual_scaffold_1,152766,154229,+,1464,17930.36,7602.71,3772.37,1101.62,14444.43,9444.71,4480.51,1187.98,17050.88,7655.68,3374.32,881.67,8741.08
144,FGBKPADF_00149,manual_scaffold_1,154304,155119,+,816,9080.32,3588.77,1162.64,197.35,8101.85,4947.74,1721.70,326.15,9720.81,3752.80,1250.50,182.79,4445.08
145,FGBKPADF_00150,manual_scaffold_1,155143,156120,+,978,12765.55,5330.01,1755.05,228.28,10189.73,6754.56,2719.24,491.95,12784.74,5266.30,1885.90,256.52,6066.83
146,FGBKPADF_00151,manual_scaffold_1,156153,158066,+,1914,24758.03,10987.02,3859.80,612.67,21690.94,14362.15,5548.78,856.37,27249.20,11115.11,4060.49,531.46,12604.50
147,FGBKPADF_00152,manual_scaffold_1,158083,158976,+,894,8955.00,3719.41,1234.41,229.75,7008.19,4668.95,1935.12,282.42,9120.91,3720.58,1394.12,199.68,4257.58
148,FGBKPADF_00153,manual_scaffold_1,158976,160307,+,1332,16861.21,8927.71,3229.55,524.30,13076.04,10121.99,4745.48,697.85,16773.88,7845.61,3355.46,491.53,8584.08
149,FGBKPADF_00154,manual_scaffold_1,160330,161364,+,1035,19764.75,11375.67,5192.07,751.10,14836.05,12728.81,6879.62,969.33,19200.05,10018.78,5062.92,675.85,10496.08
